Date,Time,Detector,Comments,Action,Gain,Run,CSD,Inj (A),Extr (A),Cent (A),Sext (A),Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),Oxygen %,Xenon %,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,18 GHz refl,JYB Bmin (T),JYB Ts
7/9/25,11:39:40 PM,,"*turned off 14 and 18 GHz, but still showing FWD power",,10,35,23:41:29,165,110,140,360,2.99,1.49,0.31,1.72,2.32,8.31,,12.5,3.643,2,0.237,8,0.78,1601,0,32,,,
7/9/25,11:44:56 PM,,"*turned off 14 and 28 GHz, but still showing FWD power",,10,36,23:46:39,165,110,140,360,2.99,1.49,0.31,1.72,2.33,8.31,,12.5,3.35,2,0.26,8,1.05,21,1579,0,,,
"MILES CHANGED INJECTION/EXTRACTION IGS AND CONTROLLER ON OCTOBER 9, SO PRESSURES MAY BE DIFFERENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/25,3:52 PM,CdTe,replica of 7/16/15 and 2/3/16,,10,01,15:58:05,122,105,102,270,2.23,1.44,0.35,1.29,3.89,7.52,,12.5,2.75,2,0.229,74,1.97,0,1012,,6,0.296,43.79015017
10/13/25,4:00 PM,,"assume taken at 1000 W, not sure",,10,02,16:06:45,122,105,98,270,2.24,1.45,0.37,1.29,3.82,7.53,,12.5,2.9,2,0.196,74,2.35,0,1015,,6,0.324,46.56380103
10/13/25,4:07 PM,,,,10,03,16:13:38,122,105,94,270,2.25,1.47,0.4,1.29,3.88,7.53,,12.5,2.85,2,0.175,74,2.4,0,1012,,6,0.351,55.04353313
10/13/25,4:15:52 PM,,,,10,04,16:20:53,122,105,88,270,2.25,1.48,0.44,1.29,4,7.53,,12.5,2.9,2,0.18,74,2.6,0,1013,,6,0.393,61.61790069
10/13/25,4:27:32 PM,,,,10,05,16:31:27,122,105,120,270,2.2,1.4,0.23,1.29,3.92,7.52,,12.5,2.6,2,0.178,74,1.31,0,1008,,6,0.170,27.16720912
10/13/25,4:33:43 PM,,,,10,06,16:37:53,122,105,125,270,2.19,1.39,0.2,1.29,4.25,7.53,,12.5,1.33,2,0.127,74,0.94,0,1011,,6,0.138,26.89998126
10/13/25,,,"drain current too low, turns off power",,,,,122,105,130,270,,,,,,,,,,,,,,,,,,0.104,16.91855066
10/13/25,,,,,,,,122,105,135,270,,,,,,,,,,,,,,,,,,0.070,19.11329807
10/13/25,4:47:27 PM,,replica of 11/2/15,,10,07,16:51:33,124,108,110,270,2.27,1.47,0.32,1.29,3.63,7.53,,12.5,2.7,2,0.19,74,1.72,0,983,,6,0.332,34.20653443
10/13/25,4:51:53 PM,,all done at 1000 W,,10,08,17:04:41,122,105,102,270,2.23,1.44,0.35,1.29,3.43,7.53,,12.5,3.05,2,0.24,74,1.94,0,988,,5,0.296,38.51771198
10/13/25,5:07:37 PM,,,,10,09,17:11:42,120,103,105,270,2.17,1.39,0.3,1.29,3.3,7.52,,12.5,3.64,2,0.316,74,2.28,0,986,,6,0.258,31.18312307
10/13/25,5:15 PM,,repeated after changing settings to match Janilee's. venus is same as run09,,15.5,10,,120,103,105,270,2.17,1.39,0.3,1.29,3.3,7.52,,12.5,3.64,2,0.316,74,2.28,0,986,,6,0.258,31.18312307
10/13/25,5:32:52 PM,,replica of 1/13/16,,15.5,11,17:32:02,122,105,102,275,2.23,1.44,0.35,1.31,3.54,7.52,,12.5,2.7,2,0.205,74,1.9,0,991,,6,,
10/13/25,5:51:46 PM,,,,15.5,12,18:00:26,122,105,102,301,2.23,1.44,0.35,1.44,3.52,7.52,,12.5,2.75,2,0.22,74,1.88,0,992,,6,,
,,,,,,,,122,105,102,325,,,,,,,,,,,,,,,,,,0.296,43.17831186
,,,,,,,,122,105,102,375,,,,,,,,,,,,,,,,,,0.296,45.9145225
,,,,,,,,122,105,102,400,,,,,,,,,,,,,,,,,,0.296,
,,,,,,,,96,85,88,270,,,,,,,,,,,,,,,,,,0.295,22.94845138
,,,,,,,,100,95,90,270,,,,,,,,,,,,,,,,,,0.234,30.1811883
,,,,,,,,185,150,150,450,,,,,,,,,,,,,,,,,,0.445,58.03569087
,,,,,,,,148,120,120,360,,,,,,,,,,,,,,,,,,0.356,46.37053799
,,,,,,,,118.31,96.45,96.45,289.35,,,,,,,,,,,,,,,,,,0.283,38.87359794
,,,,,,,,100,90,78,270,,,,,,,,,,,,,,,,,,0.297,42.75513807
,,,,,,,,140,120,123,270,,,,,,,,,,,,,,,,,,0.297,38.42572649
,,,,,,,,160,140,149,270,,,,,,,,,,,,,,,,,,0.293,45.26835854
,,,replica of 1/13/16,,,,,122,105,102,400,,,,,,,,,,,,,,,,,,0.296,
,,,,,,,,122,105,98,400,,,,,,,,,,,,,,,,,,0.32,54.32046651
,,,,,,,,122,105,94,400,,,,,,,,,,,,,,,,,,0.35,60.45272215
,,,,,,,,122,105,90,400,,,,,,,,,,,,,,,,,,0.38,65.24632608
,,,,,,,,122,105,102,375,,,,,,,,,,,,,,,,,,0.296,45.9145225
,,,,,,,,122,105,98,375,,,,,,,,,,,,,,,,,,0.32,53.31656767
,,,,,,,,122,105,94,375,,,,,,,,,,,,,,,,,,0.35,59.1768116
,,,,,,,,122,105,90,375,,,,,,,,,,,,,,,,,,0.38,64.93486657
,,,,,,,,122,105,102,325,,,,,,,,,,,,,,,,,,0.296,43.17831186
,,,,,,,,122,105,98,325,,,,,,,,,,,,,,,,,,0.32,45.44384122
,,,,,,,,122,105,94,325,,,,,,,,,,,,,,,,,,0.35,50.71029993
,,,,,,,,122,105,90,325,,,,,,,,,,,,,,,,,,0.38,57.05754131
10/14/25,12:27:26 PM,CdTe,18 vs 28 ratios,,10,03,12:28:34,185,151,149,430,3.39,2.09,0.53,2.05,2.88,7.98,,19.99,4.193,2,0.031,13,4.44,2999,1189,,11,,
10/14/2025,12:37:19 PM,,,,10,04,12:37:10,185,151,149,430,3.39,2.09,0.53,2.05,2.88,7.98,,12.5,3.675,2,0.045,13,4.85,3002,1186,,10,,
10/14/2025,12:40:34 PM,,,,10,05,12:43:45,185,151,149,430,3.39,2.09,0.53,2.05,2.88,7.98,,12.5,4.004,2,0.035,13,4.38,3483,1013,,10,,
10/14/2025,12:48:17 PM,,,,10,06,12:48:08,185,151,149,430,3.39,2.09,0.53,2.05,2.86,7.98,,12.5,4.167,2,0.031,13,4.04,4017,1015,,10,,
10/14/2025,12:54:42 PM,,,,10,07,12:54:38,185,151,149,430,3.39,2.09,0.53,2.05,3.15,7.98,,12.5,4.246,2,0.024,13,4.44,4491,1007,,7,,
10/14/2025,12:59:59 PM,,,,10,08,13:00:26,185,151,149,430,3.39,2.09,0.53,2.05,3.54,7.98,,12.5,4.83,2,0.039,13,5.38,5005,1012,,7,,
10/14/2025,1:07:41 PM,,,,10,09,13:06:39,185,151,149,430,3.39,2.09,0.53,2.05,4.14,7.98,,12.5,5.37,2,0.104,13,6.73,5496,1012,,6,,
10/14/2025,1:11:16 PM,,,,10,10,13:14:20,185,151,149,430,3.39,2.09,0.53,2.05,4.46,7.98,,12.5,5.848,2,0.101,13,6.57,5501,1475,,11,,
10/14/2025,1:19:56 PM,,,,10,11,13:20:32,185,151,149,430,3.39,2.09,0.53,2.05,5.54,7.98,,12.5,5.74,2,0.186,13,7.76,5005,1482,,12,,
10/14/2025,1:21:47 PM,,,,10,12,13:25:54,185,151,149,430,3.39,2.09,0.53,2.05,5.38,7.98,,12.5,5.53,2,0.161,13,7.6,4504,1484,,11,,
10/14/2025,1:27:47 PM,,,,10,13,13:30:48,185,151,149,430,3.39,2.09,0.53,2.05,4.75,7.98,,12.5,5.291,2,0.106,13,6.88,4000,1491,,11,,
10/14/2025,1:33:53 PM,,,,10,14,13:41:29,185,151,149,430,3.39,2.09,0.53,2.05,4.1,7.98,,12.5,4.717,2,0.074,13,5.72,3516,1718,,14,,
10/14/2025,1:47:39 PM,,,,10,15,13:47:26,185,151,149,430,3.39,2.09,0.53,2.05,3.45,7.98,,12.5,4.634,2,0.044,13,4.75,3015,1735,,14,,
10/14/2025,1:50:20 PM,,,,10,16,13:53:27,185,151,149,430,3.39,2.09,0.53,2.05,3.28,7.98,,12.5,4.337,2,0.041,13,4.69,2497,1735,,14,,
10/14/2025,1:55:35 PM,,,,10,17,13:58:35,185,151,149,430,3.39,2.09,0.53,2.05,3,7.98,,12.5,3.917,2,0.029,13,4.54,2004,1735,,14,,
10/14/2025,1:59:43 PM,,,,10,18,14:03:18,185,151,149,430,3.39,2.09,0.53,2.05,2.73,7.98,,12.5,3.536,2,0.023,13,4.16,1502,1518,,11,,
10/14/2025,2:04:48 PM,,,,10,19,14:08:12,185,151,149,430,3.39,2.09,0.53,2.05,2.42,7.98,,12.5,3.273,2,0.019,13,3.63,1006,1521,,11,,
10/14/2025,2:09:33 PM,,,,10,20,14:12:36,185,151,149,430,3.39,2.09,0.53,2.05,2.35,7.98,,12.5,2.7,2,0.02,13,3.4,499,1516,,11,,
